,Country,Total.Library.Size,g2020,g2021,g2022,g2023,Cost,Educ_index,Freedom_index,p2020,p2021,p2022,p2023,Immi_perc,Subregion,penetration rate ,u2020,u2021,u2022,u2023,m2020,m2021,m2022,m2023
58,New Zealand,7128,213000000000.0,254000000000.0,247000000000.0,253000000000.0,11.32,0.926,19.0,5090200.0,5111300.0,5117200.0,5223100.0,28.65,"Australia, New Zealand",0.975,27.39,32.49,34.85,39.24,116.1,149.6,172.7,206.8
59,Nicaragua,6239,12681548304.0,14144067556.0,15649934215.0,17829215284.0,5.99,0.573,163.0,6755895.0,6850540.0,6948392.0,7046310.0,0.64,Central America,0.253,14.2,16.08,16.42,17.36,21.5,24.9,25.78,27.57
60,Niger,2388,13744653103.0,14915002436.0,15433852712.0,16819170421.0,7.99,0.249,80.0,24333639.0,25252722.0,26207977.0,27202843.0,1.44,Western Africa,0.087,2.71,4.39,5.38,5.98,3.23,6.02,8.3,10.18
61,Nigeria,2378,432000000000.0,441000000000.0,473000000000.0,363000000000.0,4.48,0.499,112.0,208327405.0,213401323.0,218541212.0,223804632.0,0.63,Western Africa,0.638,10.58,13.45,15.18,17.28,349.6,503.5,628.5,775.2
62,Norway,7359,368000000000.0,503000000000.0,594000000000.0,486000000000.0,9.99,0.93,1.0,5379475.0,5408320.0,5457127.0,5519594.0,15.72,Northern Europe,0.948,35.43,39.2,36.89,42.7,222.2,266.8,270.5,334.2
63,Oman,6525,75909397659.0,88191977373.0,115000000000.0,108000000000.0,10.49,0.718,137.0,4543399.0,4520471.0,4576298.0,4644384.0,46.47,Western Asia,0.822,11.96,13.33,13.78,15.02,18.95,23.18,25.51,29.0
64,Pakistan,6863,300000000000.0,349000000000.0,375000000000.0,338000000000.0,2.82,0.402,152.0,227196741.0,231402117.0,235824862.0,240485658.0,1.48,Southern Asia,0.708,5.79,6.82,7.3,8.11,136.5,189.3,233.7,293.2
65,Panama,6376,57086836900.0,67406738100.0,76522511781.0,83382400000.0,8.99,0.7,83.0,4294396.0,4351267.0,4408581.0,4468087.0,7.26,Central America,0.545,14.31,15.72,15.85,16.8,13.41,17.18,19.61,22.94
66,Paraguay,6502,35432178068.0,39950899939.0,41952910858.0,42956263544.0,5.99,0.638,115.0,6618695.0,6703799.0,6780744.0,6861524.0,2.38,South America,0.621,12.79,14.24,14.55,15.6,25.62,32.15,36.03,41.43
67,Peru,6537,201000000000.0,226000000000.0,246000000000.0,268000000000.0,9.28,0.74,125.0,33304756.0,33715471.0,34049588.0,34352719.0,3.71,South America,0.465,16.82,18.3,18.09,18.73,129.7,159.3,172.2,190.0
